writestart...
-1&	0.038461538461538464&	0.03846153846153847\\
-0.95&	0.042440318302387266&	-74.87009243094069\\
-0.8999999999999999&	0.04705882352941177&	0.04705882352947992\\
-0.8499999999999999&	0.05245901639344263&	6.140930368933265\\
-0.7999999999999998&	0.05882352941176473&	0.058823529411749516\\
-0.7499999999999998&	0.06639004149377598&	-0.8100212267992626\\
-0.6999999999999997&	0.07547169811320761&	0.07547169811321171\\
-0.6499999999999997&	0.08648648648648656&	0.2750164689226461\\
-0.5999999999999996&	0.1000000000000001&	0.09999999999999877\\
-0.5499999999999996&	0.11678832116788336&	0.06086166981672385\\
-0.4999999999999996&	0.1379310344827588&	0.13793103448275937\\
-0.4499999999999996&	0.16494845360824767&	0.1867878415023484\\
-0.39999999999999963&	0.2000000000000003&	0.20000000000000007\\
-0.34999999999999964&	0.24615384615384653&	0.23529670095114158\\
-0.29999999999999966&	0.3076923076923082&	0.3076923076923084\\
-0.24999999999999967&	0.39024390243902507&	0.396842627458331\\
-0.19999999999999968&	0.5000000000000009&	0.5000000000000007\\
-0.1499999999999997&	0.6400000000000009&	0.6355656257524593\\
-0.09999999999999969&	0.800000000000001&	0.800000000000001\\
-0.049999999999999684&	0.9411764705882361&	0.9434731837924859\\
3.191891195797325e-16&	1.0&	0.9999999999999998\\
0.05000000000000032&	0.9411764705882345&	0.9415075756954836\\
0.10000000000000032&	0.799999999999999&	0.7999999999999994\\
0.15000000000000033&	0.639999999999999&	0.6379450460804064\\
0.20000000000000034&	0.4999999999999991&	0.49999999999999895\\
0.25000000000000033&	0.39024390243902374&	0.3933434799172279\\
0.3000000000000003&	0.3076923076923072&	0.3076923076923072\\
0.3500000000000003&	0.24615384615384583&	0.24159516652512378\\
0.4000000000000003&	0.19999999999999976&	0.19999999999999984\\
0.4500000000000003&	0.16494845360824725&	0.17273741829884762\\
0.5000000000000003&	0.13793103448275848&	0.1379310344827583\\
0.5500000000000004&	0.11678832116788307&	0.10045831702658821\\
0.6000000000000004&	0.09999999999999988&	0.1000000000000004\\
0.6500000000000005&	0.08648648648648638&	0.12982876248647432\\
0.7000000000000005&	0.07547169811320745&	0.07547169811320584\\
0.7500000000000006&	0.06639004149377584&	-0.08408269461840352\\
0.8000000000000006&	0.05882352941176462&	0.0588235294117723\\
0.8500000000000006&	0.05245901639344255&	0.7689852307949204\\
0.9000000000000007&	0.047058823529411695&	0.04705882352936143\\
0.9500000000000007&	0.0424403183023872&	-5.034805635142\\
1.0000000000000007&	0.038461538461538415&	0.03846153846199685\\
